cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"15995","0","24006","5079476","PCSB BANK","Brewster","NY","10509","6/30/2022","8/22/2022","NM","2477 Rt. 6","PCSB FINANCIAL CORP","15","0","0","4","0","Putnam","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1871","7/1/1943","12/31/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.PCSB.com","462664","298233","0","298233","107501","56930","0","0","0","0","56930","0","0","","0","0","","","202914","226215","103876","103876","0","33021","33021","0","89318","29503","59815","428043","34621","462663","2000","2004","8223","0",""
"14522","0","188449","1200049","PCSB BANK","Clarinda","IA","51632","6/30/2022","8/22/2022","NM","120 E. Washington St","WHITMORE CO INC","7","0","0","2","1","Page","","","1/1/1866","6/28/1934","7/1/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.wearepcsb.com","120105","20716","11124","9592","99389","0","0","0","0","0","0","0","0","","0","0","","","4060","0","0","0","0","0","0","0","0","0","0","0","120105","120105","0","0","0","0","0"
"57923","0","3348468","5010479","PEACH STATE BANK & TRUST","Gainesville","GA","30501","6/30/2022","8/22/2022","NM","325 Washington St.","PEACH STATE BANCSHARES INC","3","0","0","4","0","Hall","23580","Gainesville, GA","4/27/2005","4/27/2005","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.peachstate.bank","202797","171792","81053","90739","4292","26713","7600","8861","9049","0","1203","0","0","","0","0","","","5079","99738","18989","18989","0","55458","47858","7600","25291","5800","19491","0","202797","202798","575","569","0","0",""
"11035","0","236706","2651590","PEAPACK-GLADSTONE BANK","Bedminster","NJ","7934","6/30/2022","8/22/2022","SM","190 Main St","PEAPACK-GLADSTONE FINL CORP","21","0","0","4","0","Somerset","35620","New York-Newark-Jersey City, NY-NJ-PA","9/21/1921","1/1/1934","3/23/2022","Stock","0","1","FED","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.pgbank.com","675367","650582","0","650582","4013","7244","0","0","0","0","7244","0","13528","","13528","0","","","626612","404061","219310","219310","0","112593","112593","0","72158","72158","0","105048","556791","661839","14986","12325","0","0","0"
"18132","0","723868","2184043","PEARLAND STATE BANK","Pearland","TX","77581","6/30/2022","8/22/2022","NM","2301 N. Main St.","COASTAL BANCSHARES INC","1","0","0","5","1","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","1/6/1960","1/6/1960","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.pearlandbank.com","150262","122398","945","121453","27315","549","0","0","0","0","549","0","0","","0","0","","","34108","101242","96122","96122","0","3186","3186","0","1934","1632","302","0","150262","150262","0","0","0","0",""
"29582","3697","515979","","PEE DEE FEDERAL SAVINGS BANK","Marion","SC","29571","6/30/2022","8/22/2022","SA","106 E. Court St.","","1","0","0","5","0","Marion","","","12/11/1935","12/11/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","19279","19279","0","19279","0","0","0","0","0","0","0","0","0","","0","0","","","2239","19162","19162","19162","0","0","0","0","0","0","0","19279","0","19282","0","0","0","0",""
"58483","0","3465392","1133286","PEGASUS BANK","Dallas","TX","75209","6/30/2022","8/22/2022","NM","4515 W. Mockingbird Ln.","BANCFIRST CORP","3","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/24/2007","1/24/2007","6/29/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","http://www.pegasusbankdallas.com","131281","128897","126395","2502","2384","0","0","0","0","0","0","0","0","","0","0","","","0","2502","0","0","0","2502","2502","0","0","0","0","0","131281","131281","0","0","0","0","0"
"6176","0","370020","3137082","PENDLETON COMMUNITY BANK, INC.","Franklin","WV","26807","6/30/2022","8/22/2022","NM","128 N. Main St.","ALLEGHENY BANCSHARES INC","13","0","1","4","0","Pendleton","","","10/5/1925","1/1/1934","5/21/2021","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","https://yourbank.bank","111179","51510","15211","36299","45494","14175","0","0","3168","0","11007","0","0","","0","0","","","48017","22004","1584","1584","0","15800","15800","0","4620","0","4620","0","111179","111179","1750","1562","0","0",""
"30401","5285","328777","3200463","PENN COMMUNITY BANK","Doylestown","PA","18902","6/30/2022","8/22/2022","SB","3969 Durham Rd.","PENN CMTY MUTUAL HOLDINGS INC","21","0","0","4","0","Bucks","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1922","10/27/1949","3/22/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.penncommunitybank.com","720999","612534","0","612534","83803","24662","0","0","0","0","24662","0","0","","0","0","","","249449","331962","234524","234524","0","44976","44976","0","52462","52462","0","30353","690646","721000","15846","14658","0","0","0"
"30119","4779","805876","","PENNCREST BANK","Altoona","PA","16601","6/30/2022","8/22/2022","SB","1201 12th St.","","7","0","0","5","0","Blair","11020","Altoona, PA","1/1/1939","11/26/1940","2/29/2016","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","www.PennCrest.BANK","53394","31668","6452","25216","21726","0","0","0","0","0","0","0","0","","0","0","","","2341","21946","11869","11869","0","10077","10077","0","0","0","0","0","53394","53394","0","0","0","0",""
