cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"31485","7056","81175","4841041","EQUITABLE BANK","Grand Island","NE","68801","6/30/2022","8/22/2022","SM","113 N Locust St","EQUITABLE FINANCIAL CORP","6","0","0","4","0","Hall","24260","Grand Island, NE","1/1/1890","12/30/1965","3/30/2019","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.equitableonline.com","20466","27490","12964","22664","11041","1286","10793","2953","5429","1127","1284"
"30707","5778","206473","3835155","EQUITABLE SAVINGS AND LOAN ASSOCIATION","Sterling","CO","80751","6/30/2022","8/22/2022","SA","221 N 3rd St","FARMERS REALTY CO","10","0","0","5","0","Logan","","","1/1/1921","8/10/1954","7/21/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.equitable-savings.com","27690","15786","8272","21141","10584","3479","10420","3339","4985","854","1242"
"25858","0","139656","3180547","EQUITY BANK","Andover","KS","67002","6/30/2022","8/22/2022","SM","345 N Andover Rd","EQUITY BANCSHARES INC","68","0","1","4","0","Butler","48620","Wichita, KS","1/21/1985","1/21/1985","6/25/2022","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","0","https://www.equitybank.com","229544","259471","95439","268616","103804","21156","162348","71184","63128","18580","9456"
"10004","13641","599643","1249691","ERGO BANK","Markesan","WI","53946","6/30/2022","8/22/2022","NM","86 E Water St","FS BANCSHARES INC","2","0","0","4","0","Green Lake","","","1/20/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.ergobank.com","19397","6568","3462","10171","9091","3241","510","258","0","0","253"
"10980","11844","40855","1127687","ESB BANK","Caledonia","MN","55921","6/30/2022","8/22/2022","NM","115 N. Hwy. 44/76","EITZEN INDEPENDENTS INC","3","0","0","2","1","Houston","29100","La Crosse-Onalaska, WI-MN","1/2/1909","1/1/1934","2/16/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","https://www.esbbanking.com","7243","13971","2096","5291","11786","2041","1662","355","675","632","0"
"16629","11230","918954","1051670","ESB FINANCIAL","Emporia","KS","66801","6/30/2022","8/22/2022","NM","8th &merchant St.","NAMYAW CORP INC","4","0","0","4","1","Lyon","","","3/16/1901","10/1/1947","9/5/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.esbfinancial.com","26439","13637","4612","11665","16847","6952","10202","1078","2979","5734","411"
"58140","18006","3447820","4267427","ESQUIRE BANK, NATIONAL ASSOCIATION","Jericho","NY","11753","6/30/2022","8/22/2022","N","100 Jericho Quadrangle","ESQUIRE FINANCIAL HOLDINGS INC","2","0","0","4","0","Nassau","35620","New York-Newark-Jersey City, NY-NJ-PA","10/12/2006","10/12/2006","3/1/2019","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.esquirebank.com","1579","9759","8951","1953","434","0","7643","264","7379","0","0"
"28262","1254","952677","3854268","ESSA BANK & TRUST","Stroudsburg","PA","18360","6/30/2022","8/22/2022","SB","200 Palmer St.","ESSA BCORP INC","22","0","0","4","0","Monroe","20700","East Stroudsburg, PA","1/1/1916","1/30/1947","12/4/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.essabank.com","86832","42872","34007","51114","34831","9752","13991","6173","5712","2106","0"
"17262","13145","961400","","ESSEX SAVINGS BANK","Essex","CT","6426","6/30/2022","8/22/2022","SB","35 Plains Rd","","8","0","0","8","0","Middlesex","25540","Hartford-West Hartford-East Hartford, CT","8/6/1851","10/2/1953","4/1/2022","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.essexsavings.com","27605","15635","11684","17178","6389","7989","10440","1000","4575","1076","3789"
"27015","13964","541307","1250138","ETHIC, A WEALTH BANK","Boston","MA","2110","6/30/2022","8/22/2022","SA","125 High St","42 NORTH PRIVATE HOLDINGS INC","2","0","1","5","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1967","7/20/1987","4/1/2022","Stock","0","0","OCC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.ethicwealthbank.com","2326","77629","2623","17922","58749","661","15742","0","2008","13734","0"
