cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"9320","0","678454","","MARION STATE BANK","Marion","LA","71260","6/30/2022","8/22/2022","NM","345 Main St","","5","0","0","4","0","Union","33740","Monroe, LA","2/1/1907","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.marionstate.bank","4035","376","3659","72","775","0","281","0","494","3334","2181","341","812","1028","0","210","818","0","818","0","818","7","0","0","818"
"16250","10700","716833","1207486","MARQUETTE BANK","Chicago","IL","60636","6/30/2022","8/22/2022","SM","6316 S Western Ave","MARQUETTE NATIONAL CORP","23","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/12/1945","5/12/1945","8/29/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.emarquettebank.com","28791","874","27917","1185","7731","1020","2273","0","4438","26651","13582","4548","8521","7812","0","2005","5807","0","5807","0","5807","631","3200","0","5807"
"18094","0","388258","","MARQUETTE FARMERS STATE BANK OF MARQUETTE","Marquette","KS","67464","6/30/2022","8/22/2022","NM","205 N. Washington","","1","0","0","2","0","Mcpherson","","","7/26/1906","10/15/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.mfsb.com","420","38","382","0","58","0","8","","50","360","189","18","153","80","-3","17","60","0","60","0","60","-9","0","0","62.37"
"30544","5523","304173","","MARQUETTE SAVINGS BANK","Erie","PA","16501","6/30/2022","8/22/2022","SB","920 Peach St.","","12","0","0","5","0","Erie","21500","Erie, PA","1/1/1908","6/7/1954","8/28/2009","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.marquettesavings.com","17519","2163","15356","589","1835","0","429","","1406","12811","6033","2599","4179","3791","-21","375","3395","0","3395","0","3395","-11","0","0","3413.9"
"7910","9438","978622","4655266","MARS BANK","Mars","PA","16046","6/30/2022","8/22/2022","NM","145 Grand Ave.","MARS BCORP INC","6","0","0","8","0","Butler","38300","Pittsburgh, PA","10/16/1900","1/1/1934","6/26/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","https://www.marsbank.com","6542","149","6393","0","935","0","96","","839","6578","3972","958","1648","750","0","42","708","0","708","0","708","0","544","0","708"
"16318","0","104542","1491780","MARSEILLES BANK","Marseilles","IL","61341","6/30/2022","8/22/2022","NM","101 E Bluff St","MARSEILLES BCORP INC","2","0","0","7","1","La Salle","","","9/24/1945","9/24/1945","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.marseillesbank.com","1001","189","812","26","84","0","74","","10","670","325","68","277","200","0","0","200","0","200","0","200","21","125","0","200"
"9752","0","720157","","MARSHALL COUNTY STATE BANK","Newfolden","MN","56738","6/30/2022","8/22/2022","NM","118 E. Minnesota Ave.","","1","0","0","7","1","Marshall","","","10/20/1922","1/1/1934","2/18/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.mcsbnewfolden.com","288","45","243","0","39","0","18","","21","277","163","16","98","5","0","0","5","0","5","0","5","0","0","0","5"
"90190","13953","196800","5557826","MARTHA'S VINEYARD BANK","Edgartown","MA","2539","6/30/2022","8/22/2022","SM","78 Main St","VINEYARD BCORP MHC","10","0","0","4","0","Dukes","","","4/15/1955","11/4/1985","4/1/2022","Stock","0","1","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.mvbank.com","21082","1045","20037","465","2408","825","274","0","1309","12787","7129","1199","4459","9193","0","2444","6749","0","6749","0","6749","0","0","0","6749"
"29685","3881","104971","4843090","MARTINSVILLE FIRST SAVINGS BANK","Martinsville","VA","24112","6/30/2022","8/22/2022","SA","25 W Church St","FIRST MUTUAL HOLDING CO","1","0","0","7","0","Henry","","","1/1/1924","1/3/1950","3/1/2021","Stock","0","0","OCC","DIF","Atlanta","CHICAGO","Richmond","Richmond","Northeastern","Southeast","0","0","www.martinsvillefirst.com","432","80","352","0","246","0","0","","246","431","228","50","153","167","0","45","122","0","122","0","122","176","0","0","122"
"18013","13316","268006","3846106","MASCOMA BANK","Lebanon","NH","3766","6/30/2022","8/22/2022","SM","67 N Park St","MASCOMA MUTUAL FINL SERVICES","28","0","1","4","0","Grafton","","","1/1/1899","7/2/1959","4/1/2022","Stock","0","1","FED","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.mascomabank.com","40891","2154","38737","141","6935","0","841","0","6094","34463","20431","5040","8992","11068","0","1458","9610","0","9610","0","9610","-43","450","0","9610"
"3327","14756","368054","3026896","MASON BANK","Mason","TX","76856","6/30/2022","8/22/2022","SM","111 Westmoreland St.","MASON BK EMP STK OWNERSHIP PLAN&TR","1","0","0","2","1","Mason","","","1/15/1904","1/1/1934","1/1/2013","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.masonbank.com","2289","106","2183","0","152","0","116","","36","1401","865","190","346","934","0","0","934","0","934","0","934","95","0","0","934"
"16198","0","108746","1399019","MASON CITY NATIONAL BANK","Mason City","IL","62664","6/30/2022","8/22/2022","N","104 W Pine St","MASON CITY BCORP INC","1","0","0","2","1","Mason","","","10/9/1944","10/9/1944","8/29/2021","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","onlinebanking.masoncitynationalbank.com","1066","62","1004","0","130","1","9","","120","626","359","123","144","508","0","37","471","0","471","0","471","-3","209","0","471"
"30303","5138","29878","","MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION","Maspeth","NY","11378","6/30/2022","8/22/2022","SA","56-18 69th St","","6","0","0","4","0","Queens","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1947","2/3/1947","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.maspethfederal.com","39156","3097","36059","-209","222","0","2","0","220","19050","9048","2248","7754","17440","0","4761","12679","0","12679","0","12679","-79","0","0","12679"
"30429","5323","454975","","MASSENA SAVINGS AND LOAN","Massena","NY","13662","6/30/2022","8/22/2022","SA","255 Main St.","","2","0","0","5","0","Saint Lawrence","","","1/1/1924","10/14/1949","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.massenasavingsloan.com","3495","906","2589","20","155","0","27","","128","2081","1310","198","573","643","0","125","518","0","518","0","518","14","0","0","518"
"2359","9252","857811","3045011","MAUCH CHUNK TRUST COMPANY","Jim Thorpe","PA","18229","6/30/2022","8/22/2022","NM","1111 North St.","MAUCH CHUNK TR FINANCIAL CORP","8","0","0","8","0","Carbon","10900","Allentown-Bethlehem-Easton, PA-NJ","8/25/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","https://www.mct.bank","9590","896","8694","125","1419","206","364","","849","6921","3410","768","2743","3067","0","417","2650","0","2650","0","2650","11","567","0","2650"
"15930","0","694146","5454345","MAXWELL STATE BANK","Maxwell","IA","50161","6/30/2022","8/22/2022","NM","122 Main St.","AGCOM HOLDINGS INC","1","0","0","2","0","Story","11180","Ames, IA","2/1/1943","2/1/1943","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.maxwellstatebank.com","323","25","298","18","4","0","2","","2","475","304","31","140","-191","0","-61","-130","0","-130","0","-130","0","0","0","-130"
"13736","15541","1009840","1204355","MAYNARD SAVINGS BANK","Maynard","IA","50655","6/30/2022","8/22/2022","NM","310 W. Main St.","FAYETTE BCORP","2","0","0","2","1","Fayette","","","1/1/1895","1/13/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.maynardsavingsbank.com","1014","137","877","0","16","0","45","0","-29","563","317","59","187","330","0","18","312","0","312","0","312","14","0","0","312"
"30585","5592","411576","","MAYVILLE SAVINGS BANK","Mayville","WI","53050","6/30/2022","8/22/2022","SB","200 S Main St","","1","0","0","8","0","Dodge","","","1/1/1922","7/6/1953","8/29/2021","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","http://www.mayvillesavings.com","1017","120","897","0","81","0","9","0","72","802","493","74","235","176","0","39","137","0","137","0","137","-1","0","0","137"
"12899","15618","358448","2907251","MAYVILLE STATE BANK","Mayville","MI","48744","6/30/2022","8/22/2022","NM","37 E Ohmer Rd","MAYVILLE FINANCIAL CORP","2","0","0","7","0","Tuscola","","","4/15/1885","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.mayvillestatebank.com","1392","72","1320","0","380","0","218","","162","1306","687","166","453","394","0","65","329","0","329","0","329","14","101","0","329"
