cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"2244","13798","785857","1104978","THE JAMES POLK STONE COMMUNITY BANK","Portales","NM","88130","12/31/2012","11/15/2020","NM","109 E. 2nd St.","JAMES POLK STONE CMTY BANCSHARES","8","0","0","8","1","Roosevelt","","","7/30/1906","1/1/1934","9/3/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.jpstonecb.com","124902","91476","0","33426","0","0","0","0"
"17573","0","232258","","THE JAMESTOWN STATE BANK","Jamestown","KS","66948","12/31/2012","11/15/2020","NM","422 Walnut St.","","2","0","0","2","0","Cloud","","","1/1/1898","3/30/1956","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","7586","7411","0","175","0","0","0","0"
"11445","0","703039","1137033","THE JEFFERSON BANK","Fayette","MS","39069","12/31/2012","11/15/2020","NM","1445 Main St.","SOUTHEAST ARKANSAS BANK CORP","4","0","0","2","0","Jefferson","","","1/3/1901","1/1/1934","6/4/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","www.thejeffersonbank.com","33335","24182","0","9153","0","0","0","0"
"7599","0","920210","1406935","THE JIM THORPE NATIONAL BANK","Jim Thorpe","PA","18229","12/31/2012","11/15/2020","N","12 Broadway","JTNB BCORP INC","6","0","0","8","0","Carbon","10900","Allentown-Bethlehem-Easton, PA-NJ","8/25/1902","1/1/1934","12/31/2008","Stock","0","1","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.jtnb.com","38602","31218","0","7384","0","0","0","0"
"15237","0","235950","1059724","THE JOHNSON STATE BANK","Johnson","KS","67855","12/31/2012","11/15/2020","NM","202 S. Main St","JOHNSON STATE BANCSHARES INC","2","0","0","2","1","Stanton","","","11/14/1914","7/19/1935","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.johnsonstatebank.com","28170","23303","1","4866","0","0","0","0"
"5473","11830","469559","1061156","THE JONES NATIONAL BANK AND TRUST COMPANY OF SEWARD","Seward","NE","68434","12/31/2012","11/15/2020","N","203 S. 6th","JONES NATIONAL CORP","3","0","0","2","1","Seward","30700","Lincoln, NE","10/1/1883","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.jonesbank.com","75462","64658","8","10796","0","0","0","0"
"7614","11076","215710","1117512","THE JUNIATA VALLEY BANK","Mifflintown","PA","17059","12/31/2012","11/15/2020","NM","1 S Main St","JUNIATA VALLEY FINANCIAL CORP","12","0","0","8","0","Juniata","","","1/1/1867","1/1/1934","6/3/2010","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.jvbonline.com","29484","25265","0","1230","2989","0","0","0"
"10505","52172","287959","","THE KANSAS STATE BANK","Ottawa","KS","66067","12/31/2012","11/15/2020","NM","236 N. Main St.","","3","0","0","7","1","Franklin","","","11/20/1917","1/1/1934","5/15/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.MyKansasStateBank.com","42000","27844","0","14149","7","0","0","0"
"1865","13613","582654","","THE KANSAS STATE BANK OVERBROOK KANSAS","Overbrook","KS","66524","12/31/2012","11/15/2020","NM","400 Maple St.","","2","0","0","2","0","Osage","45820","Topeka, KS","1/1/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.theksb.com","10404","8908","0","1496","0","0","0","0"
"3279","0","979759","","THE KARNES COUNTY NATIONAL BANK OF KARNES CITY","Karnes City","TX","78118","12/31/2012","11/15/2020","N","311 E. Calvert St.","","1","0","0","7","0","Karnes","","","1/1/1900","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.kcnb.com","117322","112743","0","4579","0","0","0","0"
