cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"14779","11971","233358","1103373","CITIZENS NATIONAL BANK AT BROWNWOOD","Brownwood","TX","76801","3/31/2022","8/22/2022","N","1 Carnegie","BROWNWOOD BANCSHARES INC","2","0","0","7","1","Brown","","","9/28/1934","9/28/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.cnb-brownwood.com","162551","0","7","10","313","5286","4146","0","0","0","5319","42251","79936","25283","0","5326"
"15760","13149","853747","2473260","CITIZENS NATIONAL BANK OF ALBION","Albion","IL","62806","3/31/2022","8/22/2022","N","10 W Elm St","CITIZENS BANCSHARES INC","6","0","0","2","0","Edwards","","","8/5/1940","8/5/1940","8/29/2021","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.cnbalbion.com","92151","0","0","0","0","3406","2391","2106","3186","170","4440","15451","30119","30346","536","4610"
"5018","14478","773742","1135422","CITIZENS NATIONAL BANK OF CHEBOYGAN","Cheboygan","MI","49721","3/31/2022","8/22/2022","N","303 N Main St","CNB CORP","10","0","0","5","0","Cheboygan","","","1/24/1931","1/1/1934","8/29/2021","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.cnbismybank.com","270801","0","0","0","67","81582","123468","883","18381","4766","2040","7704","19085","12825","0","6806"
"3158","0","901451","1102161","CITIZENS NATIONAL BANK OF CROSBYTON","Crosbyton","TX","79322","3/31/2022","8/22/2022","N","202 W. Main St.","CITIZENS BANCSHARES INC","1","0","0","2","1","Crosby","31180","Lubbock, TX","1/1/1907","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","http://www.cnbcrosbyton.com","2814","0","0","0","0","0","0","0","0","0","0","2814","0","0","0","0"
"5574","0","552161","1105470","CITIZENS NATIONAL BANK OF TEXAS","Waxahachie","TX","75165","3/31/2022","8/22/2022","N","200 N. Elm St.","FIRST CITIZENS BANCSHARES INC","12","0","1","4","0","Ellis","19100","Dallas-Fort Worth-Arlington, TX","7/1/1868","1/1/1934","8/8/2007","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.cnboftexas.com","15132","0","0","0","83","1046","0","0","0","0","0","1503","5500","7000","0","0"
"26381","10830","594853","2344856","CITIZENS NATIONAL BANK, N.A.","Bossier City","LA","71111","3/31/2022","8/22/2022","N","2711 E. Texas St.","CITIZENS NATL BANCSHARES BOSSIER","13","0","0","4","0","Bossier","43340","Shreveport-Bossier City, LA","10/7/1985","10/7/1985","11/3/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.citizensnb.com","344387","0","0","0","0","100622","66273","46522","33432","0","26147","4875","5817","56290","4409","26147"
"10531","14432","732253","1108985","CITIZENS PROGRESSIVE BANK","Winnsboro","LA","71295","3/31/2022","8/22/2022","NM","3540 Front St","CALDWELL HOLDING CO","6","0","0","2","1","Franklin","","","1/1/1918","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","cpbonline.com","9455","294","0","0","0","0","0","0","0","180","1944","2450","74","4064","449","2124"
"10125","12684","758842","1990096","CITIZENS SAVINGS BANK","Anamosa","IA","52205","3/31/2022","8/22/2022","NM","215 E. Main St.","FIRST CMTY BANCSHARES CORP","2","0","0","2","1","Jones","16300","Cedar Rapids, IA","11/8/1906","1/1/1934","6/21/2013","Stock","0","1","FDIC","DIF","Kansas City","CHICAGO","Cedar Rapids","Chicago","Western","Western","0","1","www.citizensbankia.com","90933","0","0","0","22","595","1869","1245","1228","2696","1325","4074","15843","42810","19226","2614"
"30270","5086","1014376","","CITIZENS SAVINGS BANK","Bogalusa","LA","70427","3/31/2022","8/22/2022","SB","1725 Sullivan Dr","","5","0","0","8","0","Washington","","","1/1/1945","2/14/1946","11/16/2021","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","https://www.citizenssb.com","43496","0","0","28","52","1535","2638","15","0","73","501","4313","5053","26803","2485","501"
"14785","0","474544","1202913","CITIZENS SAVINGS BANK","Marshalltown","IA","50158","3/31/2022","8/22/2022","NM","110 W. Southridge Rd.","GILMAN INVESTMENT CO","3","0","0","2","1","Marshall","","","1/1/1907","10/3/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.citizenssavingsbank.com","8228","0","0","0","0","0","0","0","0","0","0","4028","3945","228","27","0"
