cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"58164","0","3410141","1119404","BANK OF LEXINGTON, INC.","Lexington","KY","40503","3/31/2022","8/22/2022","NM","761 Corp Dr","FIRST BRECKINRIDGE BANCSHARES","3","0","0","4","0","Fayette","30460","Lexington-Fayette, KY","2/6/2006","2/6/2006","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bankoflexington.net","283725","283725","263971","0","901","18853","0","0","","145808","121662","137917","38680","10960","88277","162063","121662","162063","254928","234308","0","17425","17425","18853","",""
"57396","0","3128923","5140312","BANK OF LINCOLN COUNTY","Fayetteville","TN","37334","3/31/2022","8/22/2022","NM","307 College St E","BOLC CORP","3","0","0","4","0","Lincoln","","","7/22/2002","7/22/2002","12/10/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.bolconline.com","170750","170750","165044","0","5535","171","0","0","","76629","49856","94121","20101","21201","52819","120894","49856","120894","157862","137310","0","0","0","0","",""
"19087","0","111157","1059537","BANK OF LINDSAY","Lindsay","NE","68644","3/31/2022","8/22/2022","NM","102 Pine St.","LINDSAY STATE CO","1","0","0","2","0","Platte","","","4/15/1953","4/6/1964","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","https://www.bankoflindsay.com","61156","61156","59965","0","1191","0","0","0","","24534","19216","36622","1667","12727","22228","41940","19216","41940","52266","53874","1646","6001","6001","498","",""
"91280","0","1397471","2617082","BANK OF LITTLE ROCK","Little Rock","AR","72201","3/31/2022","8/22/2022","SM","200 N. State St.","LITTLE ROCK BANKSHARES INC","5","0","0","7","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","10/21/1927","12/21/1987","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.bankoflittlerock.com","269627","269627","269526","0","101","0","0","0","","185882","43246","83745","52607","8378","22761","226381","43246","226381","266137","232431","0","0","0","0","",""
"16795","17319","14650","2224408","BANK OF LOCUST GROVE","Locust Grove","OK","74352","3/31/2022","8/22/2022","SM","124 E Main St","FIRST PRYOR BCORP INC","2","0","0","8","0","Mayes","","","6/6/1949","6/6/1949","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.banklg.com","44021","44021","34680","0","4381","4960","0","0","","20362","13186","23659","1731","9377","12551","30835","13186","30835","42402","37839","0","0","0","0","",""
"17878","0","271136","1247594","BANK OF LOUISIANA","New Orleans","LA","70130","3/31/2022","8/22/2022","NM","300 Saint Charles Ave","BOL BANCSHARES INC","5","0","0","8","0","Orleans","35380","New Orleans-Metairie, LA","7/1/1958","7/1/1958","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.bankoflouisiana.com","91310","91310","91030","0","280","0","0","0","","58596","42750","32714","1620","27091","4003","48560","42643","48667","91310","82110","0","0","0","0","",""
"16281","0","959630","","BANK OF LUMBER CITY","Lumber City","GA","31549","3/31/2022","8/22/2022","NM","21 Main St","","2","0","0","2","0","Telfair","","","7/2/1945","7/2/1945","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.bankoflumbercity.com","21557","21557","21146","0","410","0","0","0","","11482","7545","10074","1358","3655","5061","14011","7545","14012","20996","21378","0","0","0","0","",""
"13264","12871","580548","1209743","BANK OF LUXEMBURG","Luxemburg","WI","54217","3/31/2022","8/22/2022","NM","630 Main St","LUXEMBURG BANCSHARES INC","9","0","0","4","0","Kewaunee","24580","Green Bay, WI","10/3/1903","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.bankofluxemburg.com","474139","474139","444498","0","29641","0","0","0","","183910","98540","290229","35979","167194","87057","375599","100067","374072","457137","405224","12355","0","0","0","",""
"148","11273","752831","1135105","BANK OF MADISON","Madison","GA","30650","3/31/2022","8/22/2022","NM","133 N. Main St.","MADISON BANK CORP","4","0","0","4","0","Morgan","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1890","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.bankofmadisonga.com","362315","362315","293287","0","69028","0","0","0","","193622","193622","168693","85011","33014","50668","168693","113833","248482","344856","239463","0","5284","5284","0","",""
"9332","11722","989851","1123812","BANK OF MAPLE PLAIN","Maple Plain","MN","55359","3/31/2022","8/22/2022","NM","4980 Hwy. 12","MAPLE BANC SHARES INC","1","0","0","7","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","5/29/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.bankofmapleplain.com","90521","90521","83860","15","6646","0","0","0","","39392","29118","51129","28560","7849","14720","61403","29114","61407","88437","67421","0","0","0","0","",""
