cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,LNPLEDGE,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"10218","0","56258","1121966","CITIZENS BANK & TRUST CO.","Hutchinson","MN","55350","3/31/2022","8/22/2022","NM","102 Main St. S.","CITIZENS BANCSHARES HUTCHINSON","3","0","0","5","1","Mcleod","","","1/1/1886","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","http://www.cbhutch.com","143363","2575","145938","0","145938","101793","101793","157","36818","29756","7062","167","53451","11200","","13127","25336","","2922","0","38","1448","1436","2760","","2698","62","0","0","0","","0","183","0","157","0","2207",""
"18620","9139","765318","2753869","CITIZENS BANK & TRUST CO. OF JACKSON","Jackson","KY","41339","3/31/2022","8/22/2022","NM","720 Hwy. 15 S","JOHN R TURNER HOLDING CO","3","0","0","4","1","Breathitt","","","11/17/1962","11/17/1962","12/31/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.citizensbankjackson.bank","110692","1547","112239","0","112239","83836","83836","5086","30610","8602","22008","1000","43680","3460","","0","19127","","7765","802","44","1671","5248","1511","","1280","231","0","0","0","","7862","1004","0","204","4882","1292",""
"15675","9331","829041","1099140","CITIZENS BANK & TRUST COMPANY","Campbellsville","KY","42718","3/31/2022","8/22/2022","NM","201 E Main St","FIRST BCORP INC","4","0","0","4","0","Taylor","","","1/1/1939","7/22/1939","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.cbtky.com","170175","3308","173483","0","173483","111661","111661","7086","27800","0","27800","6792","58135","11848","","1854","51645","","7122","0","0","4914","2208","1200","","1200","0","0","0","0","","52428","949","0","7086","0","0",""
"1376","0","357937","1084472","CITIZENS BANK & TRUST COMPANY","Plaquemine","LA","70764","3/31/2022","8/22/2022","NM","57910 Main St","CITIZENS BCORP INC","7","0","0","4","0","Iberville","12940","Baton Rouge, LA","7/5/1916","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.citizensbankandtrust.com","241330","5932","247262","0","247262","225925","225925","22005","126064","46733","79331","8256","69600","0","","0","18992","","2253","0","509","125","1619","92","","0","92","0","0","0","","0","273","0","10113","11892","3411",""
"16417","0","384830","","CITIZENS BANK & TRUST COMPANY","Covington","LA","70433","3/31/2022","8/22/2022","NM","222 N New Hampshire St","","5","0","0","4","0","Saint Tammany","35380","New Orleans-Metairie, LA","12/31/1945","5/10/1946","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.cbtbanking.com","118273","1192","119465","0","119465","99522","99522","16088","47630","24351","23279","3680","31275","849","","0","19265","","673","0","80","58","535","5","","0","5","0","0","0","","0","0","0","5047","11041","0",""
"1972","14087","657758","1857779","CITIZENS BANK & TRUST COMPANY","Big Timber","MT","59011","3/31/2022","8/22/2022","SM","130 Mcleod St.","CBT CORP INC","2","0","0","2","0","Sweet Grass","","","1/1/1927","1/1/1934","10/18/2018","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.ctznsbank.com","55061","1778","56839","0","56839","38898","38898","1609","10427","4487","5940","0","8648","18214","","8593","6520","","2804","0","0","1503","1301","24","","0","24","0","0","0","","0","0","0","717","892","808",""
"5469","14676","925055","1051401","CITIZENS BANK & TRUST COMPANY","Saint Paul","NE","68873","3/31/2022","8/22/2022","NM","721 7th St.","HOWARD COUNTY LAND&CATTLE CO","3","0","0","2","0","Howard","24260","Grand Island, NE","1/1/1888","1/1/1934","3/14/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.bankwithcitizens.com","117960","1609","119569","0","119569","59336","59336","4135","3968","2956","1012","206","12075","38952","","41042","16223","","2946","0","0","1525","1421","22","","22","0","0","0","0","","15328","112","0","3068","1067","0",""
"19744","10821","767554","3010288","CITIZENS BANK & TRUST COMPANY OF VIVIAN, LOUISIANA","Vivian","LA","71082","3/31/2022","8/22/2022","NM","120 W Arkansas Ave","C B&T BANCSHARES INC","5","0","0","7","1","Caddo","43340","Shreveport-Bossier City, LA","9/14/1967","9/14/1967","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.cbtofvivian.com","64182","666","64848","28","64876","53869","53869","9541","15369","12854","2515","450","28509","0","","0","4456","","3093","0","133","657","2303","3458","","0","205","3253","0","0","","59678","1143","0","3305","6236","0",""
"27153","13138","1163283","3839313","CITIZENS BANK & TRUST, INC.","Trenton","GA","30752","3/31/2022","8/22/2022","SA","12255 S. Main St.","TAG BANCSHARES INC","3","0","1","8","0","Dade","16860","Chattanooga, TN-GA","1/18/1988","2/1/1996","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.citizensbanktrenton.com","64679","1055","65734","0","65734","51765","51765","4178","6539","4905","1634","275","40210","563","","282","4127","","9560","0","9","4058","5493","0","","0","0","0","0","164","","0","46","0","1005","3173","785",""
"5673","16128","701839","3200874","CITIZENS BANK AND TRUST","Frostproof","FL","33843","3/31/2022","8/22/2022","NM","2 E. Wall St.","CITIZENS BANKING CORP","17","0","0","9","1","Polk","29460","Lakeland-Winter Haven, FL","5/13/1920","1/1/1934","11/1/2021","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","http://www.citizens-bank.com","506850","5550","512400","0","512400","341822","341822","27398","184403","105573","78830","9314","119183","1524","","1593","69227","","77070","0","9129","38581","29360","22688","","22688","0","0","0","19331","","135451","571","0","6511","20887","5550",""
