date,MOM
20111102,-0.88
20111103,-0.43
20111104,-0.14
20111107,-0.08
20111108,-0.46
20111109,1.86
20111110,-0.1
20111111,-0.37
20111114,0.83
20111115,0.36
20111116,0.36
20111117,1.22
20111118,-0.08
20111121,0.89
20111122,0.94
20111123,0.72
20111125,-0.03
20111128,-0.39
20111129,0.58
20111130,-1.91
20111201,0.29
20111202,-0.59
20111205,-0.92
20111206,0.06
20111207,-0.46
20111208,1.79
20111209,-0.65
20111212,1.02
20111213,1.15
20111214,0.18
20111215,0.28
20111216,0.31
20111219,1.78
20111220,-1.15
20111221,-0.11
20111222,-1.84
20111223,0.37
20111227,1
20111228,0.85
20111229,-0.65
20111230,-0.64
20120103,-2.57
20120104,0.13
20120105,-0.61
20120106,-0.06
20120109,-0.35
20120110,-1.1
20120111,-1.33
20120112,-0.55
20120113,1.06
20120117,0.77
20120118,-1.73
20120119,-1.13
20120120,-0.62
20120123,-0.43
20120124,-0.27
20120125,-0.04
20120126,0.24
20120127,-0.58
20120130,0.71
20120131,0.25
20120201,-0.82
20120202,-0.49
20120203,-1.49
20120206,-0.29
20120207,0.35
20120208,-0.44
20120209,0.26
20120210,0.98
20120213,0.2
20120214,0.61
20120215,-0.42
20120216,-0.96
20120217,-0.13
20120221,0.12
20120222,0.6
20120223,-0.16
20120224,0.2
20120227,0.12
20120228,0.23
20120229,0.65
20120301,-0.33
20120302,0.35
20120305,1.24
20120306,1.1
20120307,-0.44
20120308,-0.1
20120309,-0.36
20120312,0.78
20120313,-1.22
20120314,0.39
20120315,-1.16
20120316,-0.83
20120319,0.12
20120320,0.09
20120321,0.3
20120322,1.22
20120323,-0.52
20120326,0.04
20120327,0.45
20120328,0.47
20120329,0.1
20120330,-0.15
20120402,-0.01
20120403,0.97
20120404,0.86
20120405,0.91
20120409,0.72
20120410,0.18
20120411,-0.33
20120412,-1.34
20120413,1.29
20120416,-0.03
20120417,-0.42
20120418,0.59
20120419,-0.49
20120420,1.07
20120423,0.09
20120424,-0.58
20120425,0.43
20120426,0.03
20120427,0.34
20120430,-0.25
20120501,-0.57
20120502,1.15
20120503,0.93
20120504,0.25
20120507,-0.02
20120508,0.15
20120509,0.11
20120510,0.79
20120511,0.56
20120514,0.25
20120515,1.17
20120516,0.88
20120517,-0.12
20120518,0.61
20120521,-0.61
20120522,0.43
20120523,-0.4
20120524,0.75
20120525,-0.53
20120529,-0.77
20120530,1.2
20120531,0.17
20120601,-0.01
20120604,0.44
20120605,-0.97
20120606,-0.99
20120607,0.42
20120608,0.36
20120611,0.97
20120612,-0.36
20120613,0.29
20120614,0.03
20120615,-0.73
20120618,0.76
20120619,-1.11
20120620,-0.43
20120621,1.3
20120622,-0.19
20120625,1.14
20120626,0.4
20120627,-0.92
20120628,-0.54
20120629,-1.16
20120702,0.83
20120703,-1.28
20120705,0.65
20120706,1.07
20120709,1.07
20120710,0.96
20120711,-0.49
20120712,0.9
20120713,-0.29
20120716,0.32
20120717,-0.17
20120718,-0.35
20120719,-0.37
20120720,0.29
20120723,0.51
20120724,0.93
20120725,-0.2
20120726,-0.64
20120727,-0.96
20120730,0.06
20120731,-0.14
20120801,-0.01
20120802,1.22
20120803,-0.73
20120806,-0.87
20120807,-1.37
20120808,-0.14
20120809,-0.79
20120810,-0.23
20120813,0.48
20120814,0.74
20120815,-0.19
20120816,-0.59
20120817,0.08
20120820,-0.12
20120821,-0.58
20120822,0.38
20120823,0.48
20120824,0.23
20120827,0.57
20120828,0.08
20120829,0.06
20120830,0.42
20120831,-0.42
20120904,0.75
20120905,-0.41
20120906,-0.59
20120907,-1.38
20120910,-0.16
20120911,-0.64
20120912,-0.07
20120913,-0.28
20120914,-1.17
20120917,0.8
20120918,0.18
20120919,0.44
20120920,0.17
20120921,0.29
20120924,0.13
20120925,0.62
20120926,-0.37
20120927,0.37
20120928,-0.09
20121001,-0.12
20121002,0.08
20121003,1.21
20121004,-0.28
20121005,0.15
20121008,-0.45
20121009,-0.38
20121010,0.49
20121011,-0.84
20121012,0.12
20121015,0.2
20121016,-0.27
20121017,0.15
20121018,-0.27
20121019,0.27
20121022,0.14
20121023,-0.26
20121024,0.97
20121025,-0.61
20121026,0
20121031,-0.2
20121101,-0.82
20121102,0.02
20121105,-0.08
20121106,-0.48
20121107,0.56
20121108,0.1
20121109,0.29
20121112,0.01
20121113,0.53
20121114,-0.53
20121115,-0.52
20121116,0.84
20121119,0.23
20121120,0.83
20121121,-0.21
20121123,-0.23
20121126,0.05
20121127,-0.27
20121128,-0.29
20121129,0.04
20121130,0.06
20121203,0.08
20121204,-0.48
20121205,-0.91
20121206,-0.06
20121207,-0.31
20121210,-0.32
20121211,-0.29
20121212,-0.2
20121213,-0.21
20121214,-0.47
20121217,0.76
20121218,-0.41
20121219,-0.09
20121220,0.2
20121221,-0.22
20121224,0.42
20121226,-0.42
20121227,0.3
20121228,0.36
20121231,0.22
20130102,0.2
20130103,-0.44
20130104,-0.38
20130107,0.19
20130108,0.84
20130109,0.07
20130110,-0.21
20130111,-0.18
20130114,-0.28
20130115,-0.31
20130116,0.2
20130117,-0.1
20130118,0.06
20130122,-0.23
20130123,0.25
20130124,-0.84
20130125,-0.14
20130128,-0.35
20130129,0.05
20130130,0.13
20130131,-0.36
20130201,0.29
20130204,0
20130205,0.14
20130206,-0.32
20130207,-0.12
20130208,-0.19
20130211,-0.03
20130212,0.01
20130213,0.17
20130214,-0.06
20130215,0.4
20130219,-0.04
20130220,-0.02
20130221,-0.06
20130222,0.23
20130225,-0.14
20130226,0.4
20130227,0.52
20130228,0.3
20130301,0.96
20130304,1.2
20130305,0.1
20130306,-0.31
20130307,-0.41
20130308,-0.02
20130311,-0.26
20130312,-0.2
20130313,0.07
20130314,-0.45
20130315,-0.59
20130318,0
20130319,0.28
20130320,0.42
20130321,0.08
20130322,0.17
20130325,-0.03
20130326,0.41
20130327,0.16
20130328,0.48
20130401,0.35
20130402,0.34
20130403,-0.63
20130404,0.17
20130405,0.16
20130408,0.27
20130409,-0.36
20130410,-0.01
20130411,0.49
20130412,0.23
20130415,-0.25
20130416,0.77
20130417,0.32
20130418,-0.24
20130419,1.27
20130422,-0.03
20130423,0.11
20130424,-0.87
20130425,-0.24
20130426,-0.06
20130429,-0.55
20130430,-0.82
20130501,-0.02
20130502,0.41
20130503,-0.37
20130506,-0.1
20130507,0.15
20130508,-0.57
20130509,0.04
20130510,0.16
20130513,0.38
20130514,0.41
20130515,0.46
20130516,-0.79
20130517,-0.08
20130520,-1
20130521,0
20130522,0.05
20130523,0.1
20130524,0.14
20130528,0.36
20130529,-0.6
20130530,0.15
20130531,-0.23
20130603,-0.38
20130604,-0.44
20130605,-0.53
20130606,0.84
20130607,0.56
20130610,0.12
20130611,-0.31
20130612,-0.35
20130613,0.51
20130614,0.24
20130617,0.29
20130618,0.12
20130619,0.09
20130620,-0.68
20130621,-0.63
20130624,-0.36
20130625,0.54
20130626,0.66
20130627,0.49
20130628,-0.44
20130701,0.48
20130702,-0.09
20130703,0.03
20130705,0.58
20130708,0.22
20130709,0.13
20130710,-0.36
20130711,0.08
20130712,0.48
20130715,-0.13
20130716,-0.62
20130717,0.33
20130718,0.19
20130719,0.05
20130722,0.17
20130723,-0.25
20130724,0.07
20130725,-0.01
20130726,0.01
20130729,-0.43
20130730,0.11
20130731,0.62
20130801,0.61
20130802,0.49
20130805,-0.12
20130806,-0.42
20130807,-0.39
20130808,0.12
20130809,0.1
20130812,-0.21
20130813,0.01
