cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"3842","12492","145545","1135404","FIRST NATIONAL BANK OF WATERLOO","Waterloo","IL","62298","6/30/2010","8/17/2020","N","228 S. Main St.","FIRST WATERLOO BANCSHARES INC","5","0","0","8","0","Monroe","41180","St. Louis, MO-IL","6/12/1912","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.fnbwaterloo.bank","149794","2528","4569","12840","24806","1778","3555","20130","8401","25392","34171","9555","712"
"18136","12652","89135","2376558","FIRST NATIONAL BANK OF WAUCHULA","Wauchula","FL","33873","6/30/2010","8/17/2020","N","406 N. 6th Ave.","FIRST HARDEE HOLDING CORP","1","0","0","4","1","Hardee","","","1/12/1960","1/12/1960","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","www.fnbwauchula.com","54675","1154","6785","14993","885","0","99","1847","12302","12194","2641","538","0"
"19263","0","538950","1064465","FIRST NATIONAL BANK OF WEATHERFORD","Weatherford","OK","73096","6/30/2010","8/17/2020","N","1101 E. Main St.","FIRST NATL BANCSHARES WEATHERFORD","3","0","0","4","1","Custer","","","10/26/1964","10/26/1964","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","fnbwford.com","72648","1923","7409","219","373","95","385","10828","15110","16767","7272","4132","7777"
"19266","9899","906559","2022471","FIRST NATIONAL BANK OF WYOMING","Laramie","WY","82070","6/30/2010","8/17/2020","N","2020 Grand Ave","FIRST CAPITAL W BANKSHARES INC","4","0","1","4","1","Albany","","","10/26/1964","10/26/1964","3/31/2006","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","","115025","4266","525","2469","3172","0","225","14755","20052","31666","26841","5693","304"
"17011","12295","12030","1134041","FIRST NATIONAL BANK SOUTH","Alma","GA","31510","6/30/2010","8/17/2020","N","423 W. 12th St.","FIRST BK SHARES OF THE S E INC","4","0","0","4","0","Bacon","","","2/15/1950","5/1/1951","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","http://www.fnbsouth.net","293052","6856","13913","21196","2882","8498","1693","99834","70548","42411","11474","3744","4404"
"18613","0","379359","1066209","FIRST NATIONAL BANK SOUTH DAKOTA","Yankton","SD","57078","6/30/2010","8/17/2020","N","332 Broadway","LAURITZEN CORP","5","0","0","2","0","Yankton","","","10/5/1962","10/5/1962","3/31/2006","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","","302174","618","1200","3628","1356","2094","1150","77163","53781","73321","66001","17287","603"
"3285","0","613950","1108097","FIRST NATIONAL BANK TEXAS","Killeen","TX","76541","6/30/2010","8/17/2020","N","507 N. Gray St.","FIRST COMMUNITY BANCSHARES INC","217","0","0","5","1","Bell","28660","Killeen-Temple, TX","2/27/1901","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","www.1stnb.com","282553","13599","0","0","7819","21327","9569","11232","52415","0","54234","106150","1971"
"22046","10367","714839","1140190","FIRST NATIONAL BANK USA","Boutte","LA","70039","6/30/2010","8/17/2020","N","13386 Hwy 90","FIRST ST CHARLES BANCSHARES","3","0","0","4","1","Saint Charles","35380","New Orleans-Metairie, LA","6/23/1975","6/23/1975","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.fnbusa.com","129228","5387","18626","19790","370","0","306","9627","26653","29332","3851","4001","646"
"1545","15907","820048","1202258","FIRST NATIONAL BANK, AMES, IOWA","Ames","IA","50010","6/30/2010","8/17/2020","N","405 5th St.","AMES NATIONAL CORP","5","0","0","4","0","Story","11180","Ames, IA","5/22/1903","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","HTTPS://WWW.FNBAMES.COM","183416","1467","1828","7965","6434","3916","2141","16026","24345","60876","40008","12767","58"
"17872","0","968155","","FIRST NATIONAL BANK, CORTEZ","Cortez","CO","81321","6/30/2010","8/17/2020","N","140 W. Main St.","","1","0","0","7","0","Montezuma","","","5/31/1958","5/31/1958","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.fnbcortez.com","29923","192","513","1284","3278","6756","0","1799","2181","3979","4942","3754","1238"
"4660","11567","916857","","FIRST NATIONAL BANK, INDEPENDENCE, KANSAS","Independence","KS","67301","6/30/2010","8/17/2020","N","113 N. Penn Ave.","","4","0","1","4","1","Montgomery","","","1/1/1881","1/1/1934","6/23/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.firstoakbank.com","67140","1624","3999","3336","2445","3689","2901","6866","13163","10064","3663","8691","6486"
"19288","52465","427353","3017915","FIRST NATIONAL BANK, SALLISAW","Sallisaw","OK","74955","6/30/2010","8/17/2020","N","1720 E. Cherokee St.","FIRST MUSKOGEE FINANCIAL CORP","4","0","0","4","1","Sequoyah","22900","Fort Smith, AR-OK","11/19/1964","11/19/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.firstar-bank.com","140147","5481","14810","14414","1931","1528","938","18299","24301","25832","16148","13820","2381"
"25247","0","734538","1086131","FIRST NATIONAL BANKER'S BANK","Baton Rouge","LA","70809","6/30/2010","8/17/2020","N","7813 Office Park Blvd.","FIRST NATL BANKERS BANKSHARES","1","0","0","4","0","East Baton Rouge","12940","Baton Rouge, LA","7/2/1984","7/2/1984","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","0","www.bankers-bank.com","222398","190","0","894","0","920","0","129834","15348","39236","30671","2432","0"
"57840","0","3278387","1086131","FIRST NATIONAL BANKERS BANK, ALABAMA","Homewood","AL","35209","6/30/2010","8/17/2020","N","600 University Park Pl. Suit","FIRST NATL BANKERS BANKSHARES","1","0","0","4","0","Jefferson","13820","Birmingham-Hoover, AL","9/8/2004","9/8/2004","2/15/2009","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","0","","168237","417","0","988","0","0","0","23657","35760","31338","23101","41849","6089"
"1294","10113","100843","1099690","FIRST NATIONAL BANKING COMPANY","Ash Flat","AR","72513","6/30/2010","8/17/2020","N","636 Ash Flat Dr.","FNBC BCORP INC","15","0","0","4","1","Sharp","","","1/1/1912","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.fnbc.us","260959","5683","13661","24485","19918","26627","1334","27532","25197","28191","7309","68452","3568"
"5357","13440","23755","1124118","FIRST NATIONAL COMMUNITY BANK","New Richmond","WI","54017","6/30/2010","8/17/2020","N","109 E 2nd St","ONE CORP","4","0","0","4","1","Saint Croix","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1919","1/1/1934","3/15/2007","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.fn-cb.com","102156","755","4741","7611","1232","1587","423","16226","16667","17058","10473","21507","1167"
"7472","11233","239613","2560263","FIRST NATIONAL COMMUNITY BANK","Dunmore","PA","18512","6/30/2010","8/17/2020","N","102 E. Drinker St.","FIRST NATIONAL CMTY BCORP INC","23","0","0","4","0","Lackawanna","42540","Scranton-Wilkes-Barre-Hazleton, PA","1/1/1910","1/1/1934","11/10/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.fncb.com","890159","13521","5484","13569","10004","19396","5223","454347","22651","99620","132208","65128","12525"
"22282","0","277240","1889565","FIRST NATIONS BANK","Chicago","IL","60631","6/30/2010","8/17/2020","NM","7757 W. Devon Ave.","ILLINOIS STATE BCORP INC","3","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/7/1976","6/7/1976","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.fnbwbank.com","224855","1956","4802","6659","9228","0","0","23718","36678","61479","76801","2467","0"
"21284","0","581237","1129515","FIRST NAVY BANK","Pensacola","FL","32508","6/30/2010","8/17/2020","SM","180 Taylor Rd.","FIVE FLAGS BANKS INC","2","0","0","7","0","Escambia","37860","Pensacola-Ferry Pass-Brent, FL","10/26/1973","10/26/1973","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.bankpensacola.com","4935","0","0","0","0","0","0","20","252","1956","2707","0","0"
"58302","0","3445769","3485541","FIRST NBC BANK","New Orleans","LA","70112","6/30/2010","8/17/2020","NM","210 Baronne St.","FIRST NBC BANK HOLDING CO","9","0","0","4","0","Orleans","35380","New Orleans-Metairie, LA","5/19/2006","5/19/2006","5/23/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","899787","10357","16684","12438","38665","4125","3006","194267","113790","164947","275728","46267","14294"
