cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"14808","10470","653648","1207431","FIRST AMERICAN BANK","Fort Dodge","IA","50501","9/30/2019","8/22/2022","SM","1207 Central Ave.","STARK BANK GROUP LTD","10","0","1","4","1","Webster","","","6/1/1934","10/16/1934","6/2/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","32358","368","3579","28411","8035","1509","1303","5223","1909","219","1005","685","1331","239","630","462","114","13","34","67","103","67","15","21","16","7","7","2","14","8","5","1"
"8149","11973","101037","1083729","FIRST AMERICAN BANK AND TRUST","Vacherie","LA","70090","9/30/2019","8/22/2022","NM","2785 Hwy 20","ONE AMERICAN CORP","25","0","0","4","0","Saint James","35380","New Orleans-Metairie, LA","12/3/1910","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.fabt.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16858","11097","921039","1138188","FIRST AMERICAN BANK AND TRUST COMPANY","Athens","GA","30601","9/30/2019","8/22/2022","NM","300 College Ave.","FIRST AMERICAN BCORP","7","0","0","4","0","Clarke","12020","Athens-Clarke County, GA","1/1/1934","11/1/1949","6/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.fabt.bank","51972","1349","8442","42181","12770","4527","2904","5339","2664","92","351","2221","1636","127","514","995","211","37","63","111","250","189","36","25","14","4","3","7","10","4","4","2"
"58593","0","3595682","3595440","FIRST AMERICAN BANK, N.A.","Hudson","WI","54016","9/30/2019","8/22/2022","N","2424 Monetary Blvd.","FIRST AMERICAN INVESTMENT INC","1","0","0","4","1","Saint Croix","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/22/2007","6/22/2007","3/1/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19226","9725","786340","3179877","FIRST AMERICAN NATIONAL BANK","Iuka","MS","38852","9/30/2019","8/22/2022","N","1251 1st American Dr.","FIRST AMERICAN BANCSHARES INC","10","0","0","8","1","Tishomingo","","","9/5/1964","9/5/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","www.fanb.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34040","0","2317672","2747765","FIRST AMERICAN STATE BANK","Greenwood Villag","CO","80111","9/30/2019","8/22/2022","SM","8390 E. Crescent Parkway, #","FIRST AMERICAN BCORP","1","0","0","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","7/10/1995","7/10/1995","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.fasbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26312","15660","1883321","1250101","FIRST AMERICAN TRUST, FSB","Santa Ana","CA","92707","9/30/2019","8/22/2022","SA","5 1st American Way, 3rd Fl.","FIRST AMERICAN FINANCIAL CORP","10","0","1","5","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","7/30/1985","7/30/1985","3/2/2018","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","www.firstamtrust.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16849","14212","466240","1096550","FIRST ARKANSAS BANK AND TRUST","Jacksonville","AR","72076","9/30/2019","8/22/2022","NM","600 W. Main St.","FIRST ARKANSAS BANCSHARES INC","24","0","1","4","1","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","11/5/1949","11/5/1949","8/5/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.fabandt.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12229","12597","169653","1118797","FIRST BANK","Creve Coeur","MO","63141","9/30/2019","8/22/2022","SM","11901 Olive Blvd.","FB CORP","94","0","1","4","0","Saint Louis","41180","St. Louis, MO-IL","7/30/1906","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","WWW.FIRST.BANK","151970","2646","13446","135878","91339","21030","19974","50335","11844","1307","4109","6428","7402","1548","2786","3068","509","71","117","321","2630","2088","246","296","103","30","43","30","108","70","24","14"
"16473","0","49652","1055351","FIRST BANK","Sterling","KS","67579","9/30/2019","8/22/2022","NM","128 S. Broadway Ave.","CORONADO INC","3","0","0","2","0","Rice","","","1/1/1907","8/26/1946","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.first-bank.net","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5907","0","875936","1082692","FIRST BANK","Mccomb","MS","39648","9/30/2019","8/22/2022","NM","105 S. Broadway St.","FIRST SOUTHWEST CORP","15","0","0","4","1","Pike","","","6/25/1895","1/1/1934","5/29/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","www.firstbankms.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14885","8885","451068","1416701","FIRST BANK","Ketchikan","AK","99901","9/30/2019","8/22/2022","NM","331 Dock St.","FIRST BCORP INC","9","0","0","7","1","Ketchikan Gateway","","","9/15/1924","11/23/1934","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","http://www.firstbankak.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34116","0","2349459","2349440","FIRST BANK","Dalton","GA","30721","9/30/2019","8/22/2022","NM","118 N. Hamilton St.","FBD HOLDING CO INC","6","0","0","4","0","Whitfield","19140","Dalton, GA","1/8/1996","1/8/1996","2/1/2016","Stock","0","0","FDIC","DIF","Atlanta","DALLAS","Atlanta","Atlanta","Southern","Southeast","0","1","https://www.myfirstbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9620","13673","131436","2061162","FIRST BANK","Clewiston","FL","33440","9/30/2019","8/22/2022","NM","300 E. Sugarland Hwy.","PIONEER BANKCORP INC","7","0","0","4","0","Hendry","","","1/1/1922","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.first1bank.com","42257","1190","9322","31745","17321","4502","6229","6590","6540","507","1873","4160","6271","885","1716","3670","198","33","80","85","311","235","56","20","53","16","21","16","79","34","26","19"
"4092","0","280352","2209030","FIRST BANK","Erick","OK","73645","9/30/2019","8/22/2022","NM","118 W. Roger Miller Blvd.","ERICK BANCSHARES INC","4","0","0","2","1","Beckham","","","12/12/1902","1/1/1934","11/6/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","https://www.yourfirst.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15019","14337","216922","1076431","FIRST BANK","Southern Pines","NC","28387","9/30/2019","8/22/2022","SM","205 S.E. Broad St.","FIRST BCORP","103","0","1","4","0","Moore","","","1/1/1934","2/8/1935","6/30/2019","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","0","http://www.localfirstbank.com","596966","22025","113891","461050","197949","50778","44389","102782","20769","3297","7520","9952","4034","1399","871","1764","2675","487","923","1265","2791","1892","459","440","186","80","62","44","62","49","7","6"
