cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,szislres,szislhel,szislccd,szislaut,szislcon,szislci,szisloth,ENCERES,ENCEAUTO,ENCECON,ENCECI,ENCEOTH,ASCERES,ASCEOTH
"3337","0","497954","3305434","TEXAS NATIONAL BANK","Mercedes","TX","78570","3/31/2011","11/15/2020","N","201 S. Texas","MNB VENTURES INC","2","0","0","4","0","Hidalgo","32580","McAllen-Edinburg-Mission, TX","11/26/1920","1/1/1934","12/31/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://texasnational.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34014","0","1435092","2299040","TEXAS NATIONAL BANK","Sweetwater","TX","79556","3/31/2011","11/15/2020","N","400 E. Broadway","MESA FINANCIAL CORP","1","0","0","7","1","Nolan","","","5/8/1995","5/8/1995","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.tnbnetbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26181","0","739355","2716471","TEXAS NATIONAL BANK OF JACKSONVILLE","Jacksonville","TX","75766","3/31/2011","11/15/2020","N","300 Neches St.","TEXAS NATIONAL BCORP","5","0","0","4","0","Cherokee","","","3/19/1985","3/19/1985","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.Txnationalbank.COM","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26906","0","380458","4076937","TEXAS REGIONAL BANK","Harlingen","TX","78550","3/31/2011","11/15/2020","NM","2019 S. 77 Sunshine Strip","TEXAS STATE BANKSHARES INC","2","0","0","4","0","Cameron","15180","Brownsville-Harlingen, TX","3/5/1987","3/5/1987","8/16/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","WWW.TEXASREGIONALBANK.COM","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3400","0","735067","3010457","TEXAS REPUBLIC BANK, NATIONAL ASSOCIATION","Frisco","TX","75034","3/31/2011","11/15/2020","N","2595 Preston Rd, Bldg 100","TRB BCORP INC","2","0","0","2","1","Collin","19100","Dallas-Fort Worth-Arlington, TX","5/21/1891","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.texasrepublicbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30951","6161","959779","3284678","TEXAS SAVINGS BANK","Snyder","TX","79549","3/31/2011","11/15/2020","SB","2619 College Ave.","TEXAS BANCSHARES INC","2","0","0","4","1","Scurry","","","1/1/1956","9/24/1957","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","62","0"
"58739","0","3619216","","TEXAS SECURITY BANK","Dallas","TX","75207","3/31/2011","11/15/2020","NM","1212 Turtle Creek Blvd.","","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","5/5/2008","5/5/2008","5/28/2008","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","https://texassecuritybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5567","11854","274164","1109553","TEXAS STAR BANK","Van Alstyne","TX","75495","3/31/2011","11/15/2020","SM","177 E. Jefferson St.","VAN ALSTYNE FINANCIAL CORP","7","0","0","4","0","Grayson","43300","Sherman-Denison, TX","6/1/1890","1/1/1934","4/24/2009","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16218","16011","821652","1107184","TEXAS STAR BANK, SSB","Lott","TX","76656","3/31/2011","11/15/2020","SB","101 Gassaway Ave.","SOUTHERN BANCSHARES INC","3","0","0","5","0","Falls","47380","Waco, TX","1/2/1943","1/2/1945","11/16/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18698","10985","748964","2472973","TEXAS STATE BANK","San Angelo","TX","76901","3/31/2011","11/15/2020","NM","2201 Sherwood Way","TEXAS BCORP INC","4","0","0","8","1","Tom Green","41660","San Angelo, TX","2/16/1963","2/16/1963","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","tx.bank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
