cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"31090","6361","617079","","BLUE GRASS FEDERAL SAVINGS AND LOAN ASSOCIATION","Paris","KY","40361","12/31/2016","2/22/2022","SA","600 High St.","","1","0","0","5","0","Bourbon","30460","Lexington-Fayette, KY","1/1/1914","11/10/1959","1/1/2016","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bluegrassfederal.com","21860","763","22623","0","22623","21331","21331","324","971","251","720","268","19077","691","","0","345","","944","0","0","4","940","3","0","0","3","0","0","0","17990","","0","0","0","324","222",""
"13753","0","794345","1143913","BLUE GRASS SAVINGS BANK","Blue Grass","IA","52726","12/31/2016","2/22/2022","NM","104 E. Mayne St.","E M F CORP","1","0","0","8","0","Scott","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bluegrassbank.com","90228","2229","92457","0","92457","66717","66717","2736","19713","12745","6968","2361","28097","13810","","5864","15973","","1530","0","0","431","1099","2373","0","2355","18","0","0","2491","22595","","0","0","808","1928","1329",""
"90160","0","28406","3742020","BLUE HILLS BANK","Boston","MA","2136","12/31/2016","2/22/2022","SB","1196 River St.","BLUE HILLS BCORP INC","12","0","0","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1871","11/8/1985","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","","1916058","18750","1934808","0","1934808","1682358","1682358","94908","521563","60891","460672","84408","978980","2499","","0","197248","0","29712","0","178","24214","5320","25490","0","14631","10859","0","0","0","1052981","0","138","0","32683","62225","18750",""
"17773","0","174321","3614668","BLUE RIDGE BANK","Walhalla","SC","29691","12/31/2016","2/22/2022","NM","100 E. Main St.","BLUE RIDGE FINANCIAL CORP","3","0","0","5","0","Oconee","","","6/17/1957","6/17/1957","9/19/2008","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","blueridge.bank","62640","868","63508","0","63508","58537","58537","368","8988","586","8402","279","48080","822","","0","1487","","3423","0","0","1320","2103","61","0","0","61","0","0","0","0","","2511","0","368","0","738",""
"17933","12663","935250","1891317","BLUE RIDGE BANK AND TRUST CO.","Independence","MO","64057","12/31/2016","2/22/2022","NM","4200 Little Blue Pkwy.","BLUE RIDGE BANCSHARES INC","9","0","0","4","0","Jackson","28140","Kansas City, MO-KS","9/8/1958","11/20/1958","6/13/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.blueridgebank.com","354936","6935","361871","0","361871","249272","249272","30258","139017","118684","20333","16111","61440","2446","","0","55237","0","56235","0","3","44690","11542","1127","0","182","45","900","0","0","45023","0","3986","3880","7637","22621","5073",""
"35274","0","233527","1426960","BLUE RIDGE BANK, NATIONAL ASSOCIATION","Martinsville","VA","24112","12/31/2016","2/22/2022","N","1 E. Market St.","BLUE RIDGE BANKSHARES INC","9","0","0","4","0","Henry","","","7/24/2000","7/24/2000","12/9/2016","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.mybrb.com","342271","2013","344284","1210","345494","277797","277797","22863","94847","55899","38948","14903","140670","4514","","896","36982","0","16281","47","179","14532","1523","13538","0","12921","617","0","0","0","93562","0","0","0","5126","17737","2013",""
"14899","13117","517357","1065565","BLUE SKY BANK","Pawhuska","OK","74056","12/31/2016","2/22/2022","SM","101 E. 8th St.","N B C BANCSHARES PAWHUSKA INC","3","0","0","4","1","Osage","46140","Tulsa, OK","11/23/1905","12/4/1934","11/18/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bluesky.bank","170315","2523","172838","0","172838","96429","96429","16202","48073","19843","28230","2687","20721","8746","","9251","64001","","2094","0","234","836","1024","1063","0","842","221","0","0","0","34455","","145","145","2374","13828","2362",""
"58848","0","3897434","4764337","BLUEGRASS COMMUNITY BANK","Danville","KY","40422","12/31/2016","2/22/2022","NM","113 Smoky Way","BLUEGRASS BCORP INC","2","0","0","4","0","Boyle","","","3/11/2009","3/11/2009","3/14/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","","47881","804","48685","0","48685","40817","40817","802","13327","2297","11030","1634","22219","2835","","1682","4418","","1768","0","1119","649","0","0","0","0","0","0","0","0","15597","","0","0","802","0","562",""
"58691","0","3636914","","BLUEHARBOR BANK","Mooresville","NC","28117","12/31/2016","2/22/2022","NM","106 Corp Park Dr.","","3","0","0","4","0","Iredell","16740","Charlotte-Concord-Gastonia, NC-SC","1/8/2008","1/8/2008","9/4/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","http://www.blueharborbank.com","145696","1555","147251","0","147251","129380","129380","19829","51941","18917","33024","2623","54447","540","","0","17148","","723","0","218","96","409","0","0","0","0","0","0","90","25373","","0","0","7117","12712","1555",""
"16571","0","75633","1231333","BMO HARRIS BANK NATIONAL ASSOCIATION","Chicago","IL","60603","12/31/2016","2/22/2022","N","111 W. Monroe St.","BANK OF MONTREAL","606","1","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/17/1947","5/17/1947","6/19/2015","Stock","0","1","OCC","DIF","Chicago","WASHINGTON","Chicago","Chicago","Central","Central","0","0","http://www.bmoharris.com","63920193","648592","64568785","0","64568785","20899466","20899466","1910378","6378131","4118327","2259804","700952","11070736","839269","0","463554","26231774","225006","4415219","419651","412824","3348742","234002","12558772","0","1812510","8881863","1864098","301","730885","23893515","294912","368789","125436","93219","1817159","744546","334372"
