cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"23123","10508","225559","1097249","BANK OF BARTLETT","Bartlett","TN","38134","6/30/2014","8/25/2021","SM","6281 Stage Rd.","WEST TENNESSEE BANCSHARES INC","8","0","0","5","0","Shelby","32820","Memphis, TN-MS-AR","5/19/1980","5/19/1980","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","http://www.bankofbartlett.com","113055","0","0","0","0","32147","70713","1102","0","0","0","0","4599","4091","403","0"
"16282","0","311144","2993722","BANK OF BEARDEN","Bearden","AR","71720","6/30/2014","8/25/2021","NM","1 2nd St. Nw","BEARDEN BANCSHARES INC","1","0","0","8","1","Ouachita","","","7/5/1945","7/5/1945","10/16/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","St. louis","Southern","Southeast","0","1","","10119","0","0","1","0","108","674","73","1472","110","300","1101","1777","3268","1235","483"
"18930","14049","302030","1138272","BANK OF BELLE GLADE","Belle Glade","FL","33430","6/30/2014","8/25/2021","NM","108 S.E. Ave. D","BELLE GLADE BANK CORP","1","0","0","5","0","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","11/14/1963","11/14/1963","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.bankofbelleglade.com","37129","1116","0","0","0","34521","0","0","0","0","0","0","1492","0","0","0"
"58114","0","3374403","4421564","BANK OF BELLEVILLE","Belleville","IL","62220","6/30/2014","8/25/2021","NM","720 W. Main St, Richland Pla","BELLEVILLE BCORP INC","1","0","0","4","0","Saint Clair","41180","St. Louis, MO-IL","11/4/2005","11/4/2005","5/23/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.bankofbelleville.com","17354","0","0","0","0","1477","4106","731","466","0","103","0","122","9071","1278","103"
"1623","0","566458","2267722","BANK OF BELTON","Belton","MO","64012","6/30/2014","8/25/2021","NM","204 Main St.","OVERLAND BCORP INC","1","0","0","4","0","Cass","28140","Kansas City, MO-KS","8/19/1884","1/1/1934","7/31/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","6806","0","0","0","0","1221","0","0","0","0","252","575","3015","1743","0","252"
"8595","13240","348159","4459754","BANK OF BENNINGTON","Bennington","NE","68007","6/30/2014","8/25/2021","SM","12212 N. 156th St.","BBIG HOLDINGS LLC","3","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","1/28/1928","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.i3.bank","4954","0","4","0","0","102","0","761","0","0","145","2329","1064","549","0","149"
"15817","0","659640","","BANK OF BENOIT","Benoit","MS","38725","6/30/2014","8/25/2021","NM","28-30 Main St.","","1","0","0","7","0","Bolivar","","","1/1/1904","5/6/1941","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","","6569","0","0","186","35","1011","248","563","0","484","1225","1441","50","1326","0","1461"
"16959","0","572347","1061316","BANK OF BILLINGS","Billings","MO","65610","6/30/2014","8/25/2021","NM","104 N E Elm St.","FIRST MIAMI BANCSHARES INC","2","0","0","8","0","Christian","44180","Springfield, MO","3/14/1889","12/1/1950","7/30/2012","Stock","0","0","FDIC","DIF","Kansas City","DALLAS","Springfield Mo","St. louis","Western","West","0","1","www.thebankofbillings.com","5522","0","0","0","1","0","0","0","0","100","3217","2021","183","0","0","513"
"59074","0","4536084","","BANK OF BIRD-IN-HAND","Bird In Hand","PA","17505","6/30/2014","8/25/2021","NM","309 N. Ronks Rd.","","1","0","0","2","0","Lancaster","29540","Lancaster, PA","11/29/2013","11/29/2013","11/29/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.bihbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58101","0","3430297","3438145","BANK OF BIRMINGHAM","Birmingham","MI","48009","6/30/2014","8/25/2021","NM","33583 Woodward Ave.","BIRMINGHAM BLOOMFLD BANCSHARES","1","0","0","4","0","Oakland","19820","Detroit-Warren-Dearborn, MI","7/26/2006","7/26/2006","7/26/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","5751","0","0","0","0","1146","388","231","233","0","258","1479","2016","0","0","258"
"32722","14522","1421161","1471849","BANK OF BLUE VALLEY","Overland Park","KS","66213","6/30/2014","8/25/2021","SM","11935 Riley St.","BLUE VALLEY BAN CORP","5","0","0","4","0","Johnson","28140","Kansas City, MO-KS","12/18/1989","12/18/1989","3/30/2007","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","90196","0","0","0","0","0","0","0","0","0","0","0","0","68742","21454","0"
"10883","0","695947","3917873","BANK OF BLUFFS","Bluffs","IL","62621","6/30/2014","8/25/2021","NM","115 N. Bluffs St.","SCOTT MORGAN BCORP INC","2","0","0","2","1","Scott","","","8/3/1893","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.bankofbluffs.com","26325","352","266","1532","462","863","0","0","0","6136","0","0","0","10700","6014","0"
"34397","0","2535560","2535579","BANK OF BOLIVAR","Bolivar","MO","65613","6/30/2014","8/25/2021","NM","495 S. Springfield Ave.","BOLIVAR BANCSHARES INC","4","0","0","4","0","Polk","44180","Springfield, MO","4/16/1997","4/16/1997","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","32383","0","0","1266","1946","6940","0","0","396","0","292","1571","3164","16808","0","292"
"6137","15392","759625","","BANK OF BOTETOURT","Buchanan","VA","24066","6/30/2014","8/25/2021","NM","19747 Main St.","","10","0","0","4","0","Botetourt","40220","Roanoke, VA","9/27/1899","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.bankofbotetourt.com","22554","0","0","0","0","0","0","0","0","0","1089","3216","10908","7341","0","1089"
"57952","0","3308529","3308510","BANK OF BOZEMAN","Bozeman","MT","59718","6/30/2014","8/25/2021","NM","875 Harmon Stream Blvd.","BOZEMAN BCORP INC","1","0","0","4","0","Gallatin","","","4/15/2005","4/15/2005","4/28/2014","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Billings","Minneapolis","Western","West","0","1","www.bankofbozeman.com","2908","0","745","496","0","0","0","0","0","0","0","131","761","775","0","0"
"57102","0","3042234","2112439","BANK OF BRENHAM, NATIONAL ASSOCIATION","Brenham","TX","77833","6/30/2014","8/25/2021","N","501 S. Austin St.","INDUSTRY BANCSHARES INC","1","0","0","7","0","Washington","","","8/7/2001","8/7/2001","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","http://www.bankofbrenham.com","52463","0","0","41","183","11062","10652","0","0","581","779","5337","3912","14596","5320","1360"
"5605","0","351131","1079236","BANK OF BREWTON","Brewton","AL","36426","6/30/2014","8/25/2021","NM","102 Belleville Ave.","REPTON SUPPLY CO INC","2","0","0","7","0","Escambia","","","8/1/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.bankofbrewton.com","34634","0","0","0","0","4655","0","0","0","1193","10","1877","13163","13591","145","206"
"2224","13855","17950","1122310","BANK OF BRIDGER, NATIONAL ASSOCIATION","Bridger","MT","59014","6/30/2014","8/25/2021","N","101 S. Main St.","BRIDGER CO THE","9","0","1","2","0","Carbon","13740","Billings, MT","5/1/1906","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.bankofbridger.com","165965","0","0","77","5970","39676","38761","0","11196","1153","1827","12824","12598","35104","6779","3460"
