cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"19680","0","598132","1080885","THE SECURITY STATE BANK","Mcrae","GA","31055","9/30/2015","11/17/2021","NM","49 W. Oak St.","FARMERS BANCSHARES INC","1","0","0","4","1","Telfair","","","2/1/1950","3/1/1967","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","https://securitystate.net","35355","35355","33971","0","1384","0","0","0","","16305","10146","19050","2091","2701","14258","25209","10146","25209","33650","30907","2161","0","0","0","",""
"18677","0","304762","","THE SECURITY STATE BANK","Winters","TX","79567","9/30/2015","11/17/2021","NM","700 S Main St","","2","0","0","2","1","Runnels","","","1/1/1917","1/3/1963","5/1/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.ssbwinters.com","49536","49536","38428","0","11107","0","0","0","","21042","13293","28493","9832","6951","11709","36242","13294","36242","47509","41323","1581","0","0","0","",""
"12422","15363","73956","3044630","THE SECURITY STATE BANK","Wellington","KS","67152","9/30/2015","11/17/2021","NM","101 N. Washington Ave.","SSB HOLDINGS INC","3","0","0","2","1","Sumner","48620","Wichita, KS","6/15/1897","1/1/1934","4/8/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.ssbwellington.com","53211","53211","45890","0","7321","0","0","0","","21659","8246","31552","2756","18721","10075","44965","8348","44863","52241","43305","1567","0","0","0","",""
"4193","0","313157","","THE SEILING STATE BANK","Seiling","OK","73663","9/30/2015","11/17/2021","NM","301 N. Main St.","","2","0","0","2","1","Dewey","","","1/1/1901","1/1/1934","12/29/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.seilingsb.com","83082","83082","61972","0","21109","0","0","0","","36586","11830","46495","791","4640","41064","71251","10002","73080","66674","62909","3543","0","0","0","",""
"35060","0","2747279","2747288","THE SETTLERS BANK","Marietta","OH","45750","9/30/2015","11/17/2021","SM","115-121 3rd St.","THIRD STREET BANCSHARES INC","1","0","0","5","0","Washington","","","7/19/1999","7/19/1999","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.settlers.bank","106610","106610","101662","71","4118","759","0","0","","34583","16944","72027","7585","28585","35857","89666","16944","89666","99980","87007","4940","0","0","0","",""
"15701","15431","428855","1095245","THE SEYMOUR BANK","Seymour","MO","65746","9/30/2015","11/17/2021","NM","119 N. Main St","COTTONRUDY INVESTMENT CO","2","0","0","2","0","Webster","44180","Springfield, MO","11/25/1939","11/25/1939","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","seymourbank.com","114183","114183","109177","0","5006","0","0","0","","45033","16382","69150","18463","10080","40607","97801","16382","97801","111120","87731","0","0","0","0","",""
"1553","16078","536349","4771979","THE SHELBY COUNTY STATE BANK","Harlan","IA","51537","9/30/2015","11/17/2021","NM","508 Court St.","DANES HOLDINGS INC","9","0","0","2","0","Shelby","","","8/2/1909","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.scsbnet.com","219454","219454","183712","9","35733","0","0","0","","87192","30671","132262","56316","39968","35978","188783","43433","176021","211750","181084","14303","1919","1919","0","",""
"10157","11363","961343","1493001","THE SHELBY STATE BANK","Shelby","MI","49455","9/30/2015","11/17/2021","NM","242 N. Michigan","SHELBY FINANCIAL CORP","9","0","0","4","0","Oceana","","","3/2/1910","1/1/1934","4/16/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","http://www.shelbybank.com","199792","199792","175407","0","24385","0","0","0","","84430","52168","115362","24792","49345","41225","147624","52168","147624","192491","169694","6596","0","0","0","",""
"16222","9776","546320","2705680","THE SHERWOOD STATE BANK","Sherwood","OH","43556","9/30/2015","11/17/2021","NM","105 N. Harrison St.","SHERWOOD BANC CORP","3","0","0","8","0","Defiance","","","1/8/1945","1/8/1945","1/4/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.sherwood.bank","49325","49325","46463","0","2686","176","0","0","","11748","7437","37577","14120","6496","16961","41888","7441","41884","49020","46108","2343","0","0","0","",""
"33999","15683","2290887","3385100","THE SIMSBURY BANK & TRUST COMPANY","Simsbury","CT","6070","9/30/2015","11/17/2021","NM","981 Hopmeadow St.","SBT BCORP INC","4","0","0","5","0","Hartford","25540","Hartford-West Hartford-East Hartford, CT","3/31/1995","3/31/1995","12/31/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","","374832","374832","298870","11","75006","945","0","0","","154178","115108","220654","103463","58660","58531","259724","115131","259701","362764","307855","20591","1268","1268","0","",""
"4773","0","356659","1063141","THE SOLOMON STATE BANK","Solomon","KS","67480","9/30/2015","11/17/2021","NM","126 W. Main St.","SOLOMON BANCSHARES INC","3","0","0","5","1","Dickinson","","","7/1/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","161727","161727","153875","0","7482","370","0","0","","21348","9604","140379","45132","4579","90668","152123","9146","152581","146213","145754","12766","7710","7710","0","",""
"6700","0","411624","","THE SOMERVILLE NATIONAL BANK","Somerville","OH","45064","9/30/2015","11/17/2021","N","197 S. Main St.","","6","0","0","8","1","Butler","17140","Cincinnati, OH-KY-IN","10/10/1910","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.somervillebank.net","143196","143196","141877","0","1319","0","0","0","","30102","20809","113094","28709","28589","55796","122387","21168","122028","140323","133792","13861","0","0","0","",""
"29731","3971","117775","2496193","THE SOUTHERN BANK COMPANY","Gadsden","AL","35901","9/30/2015","11/17/2021","NM","221 S 6th St","SOUTHERN BANC CO INC THE","4","0","0","8","0","Etowah","23460","Gadsden, AL","6/1/1936","7/2/1936","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.sobanco.com","78469","78469","76325","0","2144","0","0","0","","20825","3786","57644","4927","3667","49051","74683","3786","74683","71517","72761","9070","0","0","0","",""
"9871","0","568126","4001144","THE ST. HENRY BANK","St. Henry","OH","45883","9/30/2015","11/17/2021","SM","231 E. Main St.","ST HENRY BCORP INC THE","3","0","0","2","1","Mercer","","","1/5/1905","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.sthenrybank.com","251056","251056","248380","33","2643","0","0","0","","114441","68560","136615","15785","52240","68590","182496","68560","182496","247809","182879","12926","0","0","0","",""
"15312","12473","315357","2192628","THE ST. MARYS STATE BANK","Saint Marys","KS","66536","9/30/2015","11/17/2021","SM","905 E. Bertrand Ave.","PCI HOLDINGS INC","2","0","0","4","1","Pottawatomie","31740","Manhattan, KS","8/1/1927","12/7/1935","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","72504","72504","64440","14","8050","0","0","0","","27672","19779","44832","9674","10038","25120","52725","19779","52725","71230","62828","6253","0","0","0","",""
"15751","13154","786256","1138786","THE STATE BANK","Richmond","MO","64085","9/30/2015","11/17/2021","NM","803 Wollard Blvd.","C S BANCSHARES INC","1","0","0","2","1","Ray","28140","Kansas City, MO-KS","7/1/1940","7/1/1940","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.gostatebank.com","30061","30061","25229","0","4832","0","0","0","","12917","5303","17144","3811","3586","9747","24758","5303","24758","27699","28635","808","0","0","0","",""
"11406","12118","602048","1248818","THE STATE BANK","Fenton","MI","48430","9/30/2015","11/17/2021","NM","175 N. Leroy St.","FENTURA FINANCIAL INC","9","0","0","4","0","Genesee","22420","Flint, MI","1/1/1898","1/1/1934","1/28/2011","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.thestatebank.com","369784","369784","310787","2","36476","22519","0","0","","40151","30421","329633","16545","219760","93328","339363","105642","264142","349856","300220","11804","12891","12891","22519","",""
"1778","13278","387055","1056732","THE STATE BANK","La Junta","CO","81050","9/30/2015","11/17/2021","NM","124 Colorado St.","ARK VALLEY BANKSHARES INC","5","0","0","2","0","Otero","","","1/16/1893","1/1/1934","7/1/2007","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.redibank.com","85393","85393","72833","0","12560","0","0","0","","44127","21008","41266","11469","10102","19695","64385","21015","64378","81676","67981","3259","0","0","0","",""
"13715","12931","550448","1245200","THE STATE BANK","Spirit Lake","IA","51360","9/30/2015","11/17/2021","NM","1902 Hill Ave.","STATE BANCO LTD","2","0","0","2","1","Dickinson","","","10/5/1928","1/20/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","http://www.statebankspiritlake.com","62033","62033","55424","0","6609","0","0","0","","20139","9682","41894","11042","4579","26273","52351","9682","52351","56326","55403","4297","0","0","0","",""
