cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntr,ntripc,ntrusgov,ntrmuni,ntrcomot,ntrfcfg,ntrfc,ntrfg
"58224","0","3435948","","NORTHERN CALIFORNIA NATIONAL BANK","Chico","CA","95926","6/30/2011","11/15/2020","N","1717 Mangrove Ave, # 100","","1","0","0","7","0","Butte","17020","Chico, CA","3/28/2006","3/28/2006","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","http://www.norcalbank.com","69069","64006","0","1537","3526","0","0","0"
"22647","0","670421","","NORTHERN HANCOCK BANK & TRUST CO.","Newell","WV","26050","6/30/2011","11/15/2020","NM","226 Washington St.","","2","0","0","6","1","Hancock","48260","Weirton-Steubenville, WV-OH","5/1/1978","5/1/1978","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Cleveland","Northeastern","Northeast","0","1","","23984","13278","0","0","10706","0","0","0"
"32436","8261","533759","1123652","NORTHERN MICHIGAN BANK & TRUST","Escanaba","MI","49829","6/30/2011","11/15/2020","NM","723 Ludington St.","NORTHERN MICHIGAN CORP","8","0","0","4","1","Delta","","","1/8/1986","1/8/1986","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","","124167","101845","0","20986","1336","0","0","0"
"34983","0","2729604","2729592","NORTHERN STAR BANK","Mankato","MN","56001","6/30/2011","11/15/2020","NM","1650 Madison Ave.","NORTHERN STAR FINANCIAL INC","2","0","0","4","0","Blue Earth","31860","Mankato-North Mankato, MN","1/25/1999","1/25/1999","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","26687","25229","0","960","498","0","0","0"
"15242","0","625757","1127799","NORTHERN STATE BANK","Ashland","WI","54806","6/30/2011","11/15/2020","NM","321 W. Main St.","BAY AREA BANKING SHARES INC","8","0","1","4","1","Ashland","","","9/5/1933","1/1/1934","3/19/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.nsbashland.com","134037","120437","0","13600","0","0","0","0"
"15286","10910","188056","1907106","NORTHERN STATE BANK OF THIEF RIVER FALLS","Thief River Fall","MN","56701","6/30/2011","11/15/2020","NM","201 E. 3rd St.","GATO HOLDINGS INC","3","0","0","8","1","Pennington","","","8/24/1935","10/2/1935","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.nsbtrf.com","156948","151887","0","4690","371","0","0","0"
"19589","15406","774253","2564047","NORTHERN STATE BANK OF VIRGINIA","Virginia","MN","55792","6/30/2011","11/15/2020","NM","600 Chestnut St.","KES BANCSHARES INC","2","0","0","4","1","Saint Louis","20260","Duluth, MN-WI","5/19/1966","5/19/1966","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.nsbov.com","40700","39217","0","1483","0","0","0","0"
"34835","15128","2711944","1199611","NORTHERN TRUST BANK, FEDERAL SAVINGS BANK","Bloomfield Hills","MI","48304","6/30/2011","11/15/2020","SA","10 W. Long Lake Rd.","NORTHERN TRUST CORP","13","0","1","6","0","Oakland","19820","Detroit-Warren-Dearborn, MI","8/17/1998","8/17/1998","7/14/2010","Stock","0","1","OTS","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","0","","1057695","1057695","","","","","",""
"24185","0","665931","1199611","NORTHERN TRUST, NATIONAL ASSOCIATION","Miami","FL","33131","6/30/2011","11/15/2020","N","700 Brickell Ave.","NORTHERN TRUST CORP","63","0","1","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","11/1/1982","11/1/1982","10/23/2006","Stock","0","1","OCC","DIF","Atlanta","CHICAGO","South Florida","Atlanta","Southern","Southeast","0","0","","9822126","9626421","0","195705","0","0","0","0"
"28710","18063","28013","","NORTHFIELD BANK","Staten Island","NY","10314","6/30/2011","11/15/2020","SA","1731 Victory Blvd.","","21","0","1","4","0","Richmond","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1887","6/28/1983","8/25/2008","Stock","0","0","OTS","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.enorthfield.com","1404246","1404246","","","","","",""
"14140","8416","520003","2934305","NORTHFIELD SAVINGS BANK","Northfield","VT","5663","6/30/2011","11/15/2020","SB","33 S. Main St.","NORTHFIELD MHC","13","0","0","5","0","Washington","","","11/21/1867","3/31/1934","4/25/2007","Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.nsbvt.com","479191","465271","0","13425","495","0","0","0"
"13202","11740","889652","1122776","NORTHLAND FINANCIAL","Steele","ND","58482","6/30/2011","11/15/2020","NM","115 Broadway E.","H O M E INC","4","0","0","2","1","Kidder","","","1/1/1932","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","91802","87963","0","3839","0","0","0","0"
