cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"18621","0","502353","1107885","FIRST STATE BANK","Mesquite","TX","75149","9/30/2010","8/17/2020","NM","917 Military Pkwy.","G-6 CORP","6","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","11/1/1962","11/1/1962","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","28321","4914","16070","5908","1430","16307","2838","9382","3263","824"
"16643","0","603755","","FIRST STATE BANK","Junction","TX","76849","9/30/2010","8/17/2020","SM","601 College","","1","0","0","2","1","Kimble","","","11/8/1947","11/8/1947","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.fsbjunction.com","5090","1492","2252","1290","56","2994","1071","1493","200","230"
"23318","13827","563756","1136175","FIRST STATE BANK","Wheatland","WY","82201","9/30/2010","8/17/2020","SM","1405 Sixteenth St.","WHEATLAND BANKSHARES INC","3","0","0","2","0","Platte","","","1/15/1981","1/15/1981","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","","46089","11791","26111","6560","1628","75501","32354","31216","10120","1811"
"16217","0","1003549","1200469","FIRST STATE BANK","Manchester","IA","52057","9/30/2010","8/17/2020","SM","300 E. Main St.","DELAWARE SERVICE CO","1","0","0","2","1","Delaware","","","1/2/1945","1/2/1945","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","50046","7131","21988","16550","4377","22837","3160","5396","7729","6552"
"12149","9559","565143","1119404","FIRST STATE BANK","Irvington","KY","40146","9/30/2010","8/17/2020","NM","240 N. 1st St.","FIRST BRECKINRIDGE BANCSHARES","3","0","0","5","0","Breckinridge","","","1/1/1903","1/1/1934","8/17/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.firststatebankky.com","39517","11233","21578","4656","2050","9618","843","7255","510","1010"
"19163","0","36933","1493672","FIRST STATE BANK","Wrens","GA","30833","9/30/2010","8/17/2020","NM","300 Broad St.","CSRA BANK CORP","3","0","0","4","0","Jefferson","","","7/6/1964","7/6/1964","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","http://www.firstate.net","25865","7036","15931","2468","430","17453","3255","9762","2866","1570"
"12757","14420","513854","","FIRST STATE BANK","Valliant","OK","74764","9/30/2010","8/17/2020","NM","Dalton Ave. &harris St.","","1","0","0","6","1","Mccurtain","","","1/1/1911","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.fsbvalliant.com","9063","2193","5981","763","125","19142","3213","12994","2935","0"
"9968","0","429759","3072660","FIRST STATE BANK","Frankston","TX","75763","9/30/2010","8/17/2020","NM","169 S. Frankston Hwy","JANE AUSTIN CHAPMAN PARTNERSHIP L P","3","0","0","4","0","Anderson","","","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","29674","5646","16662","4741","2625","19207","5408","10542","1919","1338"
"16768","0","608367","1138423","FIRST STATE BANK","Van","TX","75790","9/30/2010","8/17/2020","NM","660 W. Main St.","OVERTON FINANCIAL CORP","1","0","0","6","0","Van Zandt","","","2/25/1949","2/25/1949","10/26/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","8373","3695","4250","259","169","9620","2201","6365","911","143"
"16332","15612","899642","2310217","FIRST STATE BANK","Monticello","IL","61856","9/30/2010","8/17/2020","NM","201 W. Main St.","FIRST ST BCORP MONTICELLO EMPLOYEE STK OWNERSHIP PLAN","6","0","0","8","1","Piatt","16580","Champaign-Urbana, IL","11/10/1945","11/10/1945","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.fsbcorp.com","64324","20474","20080","8648","15122","29335","14539","10846","3950","0"
"16182","0","53752","","FIRST STATE BANK","Hemphill","TX","75948","9/30/2010","8/17/2020","NM","101 Worth St","","1","0","0","7","0","Sabine","","","9/9/1944","9/9/1944","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","11289","2649","4462","3232","946","9771","1909","3925","2916","1021"
"8522","10333","795249","1139327","FIRST STATE BANK","Britt","IA","50423","9/30/2010","8/17/2020","NM","183 Main Ave. N.","READLYN BANCSHARES INC","2","0","0","2","0","Hancock","","","11/12/1927","1/1/1934","10/10/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://fsb-britt.com","21420","3348","6332","10255","1485","12667","2380","7745","2542","0"
"15787","0","624152","1842971","FIRST STATE BANK","Wilmot","SD","57279","9/30/2010","8/17/2020","NM","707 Main St.","NORTHEAST BCORP INC","2","0","0","2","1","Roberts","","","1/1/1941","1/1/1941","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","6976","1493","3642","1714","127","6233","1041","2710","2355","127"
